time_utc,era5_hour,valid_fraction,mean_no2,blh,cluster,u10,u100,u850,v10,v100,v850,ws10,wd10,ws100,wd100,ws850,wd850
2019-10-02 08:12:00,2019-10-02 08:00:00,1.2262443438914028,3.021044357956816e-05,949.5386962890625,C1_shivajinagar_kasarwadi,2.826638698577881,3.649803400039673,3.9217166900634766,-0.686651349067688,-0.9341442584991455,-1.1205358505249023,2.9088445141455277,283.6539018053475,3.7674514402481787,284.3563102125329,4.078659386297659,285.9460086907958
2019-10-02 08:12:00,2019-10-02 08:00:00,1.2262443438914028,3.021044357956816e-05,955.3258056640625,C2_pcmc,2.9560999870300293,3.814858913421631,4.102651596069336,-0.6968346834182739,-0.9540095329284668,-1.0769890546798706,3.037121286569502,283.2640574644548,3.932338072728597,284.0404106409346,4.241657169389166,284.7088658447831
2019-10-02 08:12:00,2019-10-02 08:00:00,1.2262443438914028,3.021044357956816e-05,955.3258056640625,C3_dehu_talegaon,2.9560999870300293,3.814858913421631,4.102651596069336,-0.6968346834182739,-0.9540095329284668,-1.0769890546798706,3.037121286569502,283.2640574644548,3.932338072728597,284.0404106409346,4.241657169389166,284.7088658447831
2019-10-05 07:14:00,2019-10-05 07:00:00,1.2262443438914028,4.129526482422696e-05,1073.6900634765625,C1_shivajinagar_kasarwadi,-1.6516647338867188,-2.0959062576293945,-2.5154857635498047,0.4143827259540558,0.5304431915283203,0.8496367931365967,1.7028533221432196,104.08411481193232,2.161988210006892,104.20250174307779,2.6550991143219465,108.66304051469453
2019-10-05 07:14:00,2019-10-05 07:00:00,1.2262443438914028,4.129526482422696e-05,1073.6900634765625,C2_pcmc,-1.9530372619628906,-2.4766345024108887,-2.6645965576171875,0.42860326170921326,0.5382588505744934,0.860663890838623,1.9995137665350746,102.37761564807744,2.534450837707018,102.26168202356834,2.800145915458486,107.90044108070526
2019-10-05 07:14:00,2019-10-05 07:00:00,1.2262443438914028,4.129526482422696e-05,1073.6900634765625,C3_dehu_talegaon,-1.9530372619628906,-2.4766345024108887,-2.6645965576171875,0.42860326170921326,0.5382588505744934,0.860663890838623,1.9995137665350746,102.37761564807744,2.534450837707018,102.26168202356834,2.800145915458486,107.90044108070526
2019-10-08 07:59:00,2019-10-08 08:00:00,1.2262443438914028,3.3878474033242696e-05,1016.069580078125,C1_shivajinagar_kasarwadi,-2.467818260192871,-3.2244622707366943,-4.409357070922852,-0.12003922462463379,-0.17113876342773438,-0.44263553619384766,2.470735999816624,87.21522267891396,3.229000683145176,86.96186952394964,4.431518475285753,84.26753858118627
2019-10-08 07:59:00,2019-10-08 08:00:00,1.2262443438914028,3.3878474033242696e-05,964.6556396484375,C2_pcmc,-2.4864449501037598,-3.244868278503418,-4.186567306518555,-0.08778548240661621,-0.06467342376708984,-0.17122793197631836,2.4879941279709343,87.97797680104077,3.2455127170571205,88.85818980533037,4.190067400018633,87.6579444855123
2019-10-08 07:59:00,2019-10-08 08:00:00,1.2262443438914028,3.3878474033242696e-05,964.6556396484375,C3_dehu_talegaon,-2.4864449501037598,-3.244868278503418,-4.186567306518555,-0.08778548240661621,-0.06467342376708984,-0.17122793197631836,2.4879941279709343,87.97797680104077,3.2455127170571205,88.85818980533037,4.190067400018633,87.6579444855123
2019-10-09 07:39:00,2019-10-09 08:00:00,1.1990950226244343,4.369257806594118e-05,897.825927734375,C1_shivajinagar_kasarwadi,-1.9021992683410645,-2.43363094329834,-2.8124217987060547,0.21795201301574707,0.31972813606262207,0.5949621200561523,1.914644911322958,96.53638629669038,2.454543878028919,97.48459932921975,2.8746645540199487,101.94469860383333
